Aesop Perfect Facial Hydrating Cream,Water (Aqua),962,Aqua,7732-18-5,7732-18-5,,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,0,"Normal, Dry, Oily, Combination","Normal, Dry, Oily, Combination",None,None,,5,5,5,5,5,5,5,5,5,5,5,5,None,,,,None,None,Yes,None,,"Light, Medium, Deep",Water (Aqua),Hydrating,"Teen, 20s, 30s, 40s, 50s, 60+",No protection,,Solvent,,,,,,,,,,,,,,,,,,
Aesop Perfect Facial Hydrating Cream,Glycerin,753,Glycerin,56-81-5,56-81-5,,,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Dry, Normal",Combination,None,Oily,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,None,Yes,"Dryness, Dullness, Damaged skin",,"Light, Medium, Deep",Glycerin,"Moisturizing, Hydrating, Soothing","Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Humectant, Solvent",Safe,,No,,,,No,,,,,,Yes/No,"Plant-based, byproduct of biodiesel",No,,,
Aesop Perfect Facial Hydrating Cream,Aloe Barbadensis Leaf Juice,23343930,Aloe Barbadensis Leaf Juice,85507-69-3,85507-69-3,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,"Normal, Dry, Oily, Combination","Normal, Dry, Oily, Combination",None,None,,5,5,5,5,5,5,5,5,5,5,5,5,"Dry, Sensitive",,,,Latex sensitivity,Aloe allergy,Yes,"Dryness, Redness, Sunburned skin, Sensitive skin, Damaged skin, Acne",,"Light, Medium, Deep",Aloe Barbadensis Leaf Juice,"Moisturizing, Soothing, Healing, Reduces Inflammation, Improves Symptoms of Eczema","Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Humectant, Active",Safe,Sensitive skin,No,,,,,,,,,,Yes,"Organic, USDA Organic, International Aloe Science Council (IASC)",No,Safe if disposed off in small quantities,,
Aesop Perfect Facial Hydrating Cream,Glyceryl Stearate,9204,Glyceryl Stearate,11099-07-03,11099-07-03,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,Dry,"Normal, Combination",None,Oily,,4,4,4,4,4,4,4,4,4,4,4,4,"Dry, Mature",Caprylyl Glycol,,,Acne-prone,None,Yes,"Dryness, Loss of Elasticity/firmness",,"Light, Medium, Deep",Glyceryl Stearate,"Moisturizing, Smoothing, Nourishing","20s, 30s, 40s, 50s, 60+",No protection,,"Emulsifier, Emollient, Stabilizer",Safe,,No,,,,None,,,,,,Yes/No,"Plant-based, RSPO",No,,,
Aesop Perfect Facial Hydrating Cream,Simmondsia Chinensis (Jojoba) Seed Oil,91745,Simmondsia Chinensis Seed Oil,61789-91-1,61789-91-1,Allowed,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Combination, Oily",Normal,None,Dry,,5,5,5,5,5,5,5,5,5,5,5,5,"Acne-prone, Sensitive",,,,None,None,Yes,"Dryness, Oiliness, Acne, Sensitive skin, Sunburned skin",,"Light, Medium, Deep",Simmondsia Chinensis (Jojoba) Seed Oil,"Moisturizing, Nourishing, Reduces Acne, Balancing","Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Emollient, Antioxidant",Safe,,No,,,,,,,,,,Yes,,No,,,
Aesop Perfect Facial Hydrating Cream,Sodium Ascorbyl Phosphate,443277,Sodium Ascorbyl Phosphate,66170-10-3,66170-10-3,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Normal, Dry, Oily, Combination","Normal, Dry, Oily, Combination",None,None,,4,4,4,4,3,3,4,4,4,4,3,3,"Acne-prone, Mature",,,,None,None,Yes,"Dark Spots, Uneven skin tone, Signs of Aging, Dullness",,"Light, Medium, Deep",Sodium Ascorbyl Phosphate,"Brightening, Anti-aging, Improves Skin Tone, Antioxidant Protection","20s, 30s, 40s, 50s, 60+",No protection,,"Active, Antioxidant",,,,,,,,,,,,,,,,,,
Aesop Perfect Facial Hydrating Cream,Cetearyl Alcohol,8221,Cetearyl Alcohol,67762-27-0,67762-27-0,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Dry, Normal",Combination,None,Oily,,4,4,4,4,3,3,4,4,4,4,3,3,Dry,,,,Very sensitive skin,None,Yes,"Dryness, Uneven texture",,"Light, Medium, Deep",Cetearyl Alcohol,"Moisturizing, Smoothing","20s, 30s, 40s, 50s, 60+",No protection,,"Emulsifier, Emollient, Thickener, Stabilizer",Safe,,No,,,,,,,,,,Yes/No,RSPO,No,,Cetearyl Alcohol is only pore-clogging when a formula also has Ceteareth 20,
Aesop Perfect Facial Hydrating Cream,Rosa Canina Fruit Oil,5280343,Rosa Canina Fruit Oil,84696-47-9,84696-47-9,"Dryness, Dark Spots, Loss of Elasticity, Wrinkles, Fine Lines, Uneven Skin Tone",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,"Dry, Normal",Combination,Oily,None,,5,5,5,5,4,4,5,5,5,4,3,3,,,,,None,Rose hip allergy,No,"Dryness, Dark Spots, Loss of Elasticity/firmness, Wrinkles, Fine lines, Uneven skin tone",,"Light, Medium, Deep",Rosa Canina Fruit Oil,"Moisturizing, Brightening, Anti-aging, Reduces Fine Lines, Antioxidant Protection","20s, 30s, 40s, 50s, 60+",No protection,,"Emollient, Antioxidant, Active",Safe,,No,,,,,,,,,,Yes,,No,,,
Aesop Perfect Facial Hydrating Cream,Steareth-21,71386,Steareth-21,9005-00-9,None,,,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Normal, Dry, Oily, Combination","Normal, Dry, Oily, Combination",None,None,,4,4,4,4,3,3,4,4,4,3,3,2,None,,,,Sensitive,None,Yes,None,,"Light, Medium, Deep",Steareth-21,None,"Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Emulsifier, Surfactant",,,,,,,,,,,,,,,,,,
Aesop Perfect Facial Hydrating Cream,Theobroma Cacao (Cocoa) Seed Butter,104935,Theobroma Cacao Seed Butter,8002-31-1,None,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Dry,"Normal, Combination",None,Oily,,4,4,4,4,3,3,4,4,4,3,3,2,"Dry, Mature",,,,Acne-prone,"Nut allergy, cocoa allergy",Yes,"Dryness, Damaged skin, Signs of Aging, Loss of Elasticity/firmness",,"Light, Medium, Deep",Theobroma Cacao (Cocoa) Seed Butter,"Moisturizing, Nourishing, Healing","Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Emollient, Occlusive agent",,,,,,,,,,,,,,,,,,
Aesop Perfect Facial Hydrating Cream,Microcrystalline Cellulose,57417357,Cellulose,9004-34-6,9004-34-6,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Normal, Dry, Oily, Combination","Normal, Dry, Oily, Combination",None,None,,5,5,5,5,5,5,5,5,5,5,5,5,None,,,,None,None,Yes,None,,"Light, Medium, Deep",Microcrystalline Cellulose,None,"Teen, 20s, 30s, 40s, 50s, 60+",No protection,,"Thickener, Texture enhancer",,,,,,,,,,,,,,,,,,
Aesop Perfect Facial Hydrating Cream,Tocopherol,14985,Tocopherol,59-02-9,59-02-9,,,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,"Dry, Normal",Combination,None,Oily,,4,4,4,4,3,3,4,4,4,4,3,3,"Dry, Mature",,,,None,Soy allergy,Yes,"Signs of Aging, Dryness, Damaged skin",,"Light, Medium, Deep",Tocopherol,"Nourishing, Antioxidant Protection, Anti-aging, Healing, Minimizes Pores","20s, 30s, 40s, 50s, 60+",No protection,,"Antioxidant, Emollient",Safe,,No,,,,Skin rash,Itching,Hives,Comedogenic,,,Yes/No,"Organic, non-GMO",No,,,
